"","gene_id","gene_type","gene_short_name"
"64","ENSMUSG00000103282.2","processed_pseudogene","Gm37275"
"65","ENSMUSG00000102534.2","processed_pseudogene","Gm37225"
"66","ENSMUSG00000102213.2","processed_pseudogene","Gm37489"
"67","ENSMUSG00000103629.2","processed_pseudogene","Gm5694"
"68","ENSMUSG00000051285.18","protein_coding","Pcmtd1"
"69","ENSMUSG00000098201.2","processed_pseudogene","Gm26983"
"70","ENSMUSG00000103509.2","TEC","Gm38372"
"71","ENSMUSG00000048538.8","processed_pseudogene","Gm9826"
"72","ENSMUSG00000103709.2","processed_pseudogene","Nras-ps2"
"73","ENSMUSG00000077244.3","snoRNA","Gm23274"
"74","ENSMUSG00000102768.2","processed_pseudogene","Gm19002"
"75","ENSMUSG00000097797.7","lncRNA","Gm26901"
"76","ENSMUSG00000103498.2","processed_pseudogene","Gm18984"
"77","ENSMUSG00000103067.2","lncRNA","Gm30414"
"78","ENSMUSG00000102320.2","processed_pseudogene","Gm37791"
"79","ENSMUSG00000104226.2","processed_pseudogene","Gm7470"
"80","ENSMUSG00000103903.2","processed_pseudogene","Rps2-ps2"
"81","ENSMUSG00000103557.2","processed_pseudogene","Gm38216"
"82","ENSMUSG00000025909.17","protein_coding","Sntg1"
"83","ENSMUSG00000102647.2","TEC","Gm38024"
"84","ENSMUSG00000086235.2","processed_pseudogene","Gm16284"
"85","ENSMUSG00000102253.2","TEC","Gm38259"
"86","ENSMUSG00002074990.1","miRNA","ENSMUSG00002074990"
"87","ENSMUSG00000103884.2","TEC","Gm37005"
"88","ENSMUSG00000084353.2","processed_pseudogene","Gm15452"
"89","ENSMUSG00000103933.2","processed_pseudogene","Gm36964"
"90","ENSMUSG00002075967.1","miRNA","ENSMUSG00002075967"
"91","ENSMUSG00000086195.2","processed_pseudogene","Gm6152"
"92","ENSMUSG00000104504.2","processed_pseudogene","Gm7445"
"93","ENSMUSG00000066693.3","processed_pseudogene","Gm7493"
"94","ENSMUSG00000102316.2","TEC","Gm37629"
"95","ENSMUSG00000103819.2","processed_pseudogene","Gm38008"
"96","ENSMUSG00000102871.2","TEC","Gm37143"
"97","ENSMUSG00000101571.3","processed_pseudogene","Gm6187"
"98","ENSMUSG00000104428.2","processed_pseudogene","Gm18299"
"99","ENSMUSG00000102272.2","processed_pseudogene","Gm7512"
"100","ENSMUSG00000065625.3","snRNA","Gm24765"
"101","ENSMUSG00000103411.2","processed_pseudogene","Gm18300"
"102","ENSMUSG00000061024.9","protein_coding","Rrs1"
"103","ENSMUSG00000025911.15","protein_coding","Adhfe1"
"104","ENSMUSG00000079671.9","lncRNA","2610203C22Rik"
"105","ENSMUSG00000081441.4","processed_pseudogene","Gm6161"
"106","ENSMUSG00000067879.4","protein_coding","Vxn"
"107","ENSMUSG00000099827.2","lncRNA","Gm29520"
"108","ENSMUSG00000025912.17","protein_coding","Mybl1"
"109","ENSMUSG00000045210.9","protein_coding","Vcpip1"
"110","ENSMUSG00000097893.9","lncRNA","1700034P13Rik"
"111","ENSMUSG00000025915.15","protein_coding","Sgk3"
"112","ENSMUSG00000046334.5","processed_pseudogene","Gm6195"
"113","ENSMUSG00002075801.1","snRNA","U6"
"114","ENSMUSG00000046101.17","protein_coding","Mcmdc2"
"115","ENSMUSG00000098234.8","lncRNA","Snhg6"
"116","ENSMUSG00000093178.3","snoRNA","Snord87"
"117","ENSMUSG00000099032.3","protein_coding","Tcf24"
"118","ENSMUSG00000104025.2","TEC","E330040D14Rik"
"119","ENSMUSG00000025916.11","protein_coding","Ppp1r42"
"120","ENSMUSG00000087199.2","lncRNA","Gm15818"
"121","ENSMUSG00000119658.1","snRNA","U6"
"122","ENSMUSG00000025917.10","protein_coding","Cops5"
"123","ENSMUSG00000056763.17","protein_coding","Cspp1"
"124","ENSMUSG00000102356.2","TEC","1700047N06Rik"
"125","ENSMUSG00000067851.12","protein_coding","Arfgef1"
"126","ENSMUSG00002076532.1","misc_RNA","7SK"
"127","ENSMUSG00000102556.2","TEC","Gm37569"
"128","ENSMUSG00000042501.13","protein_coding","Cpa6"
"129","ENSMUSG00000103810.2","TEC","Gm38005"
"130","ENSMUSG00000083422.2","processed_pseudogene","Gm15604"
"131","ENSMUSG00000119312.1","snRNA","U6"
"132","ENSMUSG00000081417.2","processed_pseudogene","Gm15603"
"133","ENSMUSG00000103448.2","TEC","Gm37133"
"134","ENSMUSG00000100212.2","processed_pseudogene","Gm5522"
"135","ENSMUSG00000100648.2","processed_pseudogene","Gm28659"
"136","ENSMUSG00002076499.1","snoRNA","SNORA66"
"137","ENSMUSG00000048960.14","protein_coding","Prex2"
"138","ENSMUSG00000077318.3","snoRNA","Gm24173"
"139","ENSMUSG00000101827.2","processed_pseudogene","Gm28686"
"140","ENSMUSG00000103494.2","TEC","Gm37410"
"141","ENSMUSG00000057715.14","protein_coding","A830018L16Rik"
"142","ENSMUSG00000103825.2","TEC","Gm38178"
"143","ENSMUSG00000099845.2","processed_pseudogene","Gm29273"
"144","ENSMUSG00000103561.2","TEC","Gm38069"
"145","ENSMUSG00000101610.2","processed_pseudogene","Gm7560"
"146","ENSMUSG00000118923.1","snRNA","U6"
"147","ENSMUSG00000098555.3","miRNA","Mir6341"
"148","ENSMUSG00000097628.2","processed_pseudogene","Gm2383"
"149","ENSMUSG00000098163.2","processed_pseudogene","Gm6216"
"150","ENSMUSG00000097171.2","lncRNA","Gm17644"
"151","ENSMUSG00000101314.2","lncRNA","Gm29663"
"152","ENSMUSG00000016918.16","protein_coding","Sulf1"
"153","ENSMUSG00000025938.17","protein_coding","Slco5a1"
"154","ENSMUSG00000104518.2","TEC","Gm37162"
"155","ENSMUSG00000069620.7","processed_pseudogene","Gm5250"
"156","ENSMUSG00000099498.2","lncRNA","Gm29283"
"157","ENSMUSG00000042414.8","protein_coding","Prdm14"
"158","ENSMUSG00000005886.15","protein_coding","Ncoa2"
"159","ENSMUSG00000103506.2","TEC","Gm38376"
"160","ENSMUSG00000103495.2","TEC","Gm37409"
"161","ENSMUSG00002076346.1","miRNA","ENSMUSG00002076346"
"162","ENSMUSG00000102639.2","TEC","Gm38223"
"163","ENSMUSG00000104170.2","TEC","Gm37702"
"164","ENSMUSG00000087782.3","snRNA","Gm23169"
"165","ENSMUSG00000103085.2","TEC","Gm38120"
"166","ENSMUSG00000102664.2","TEC","Gm38380"
"167","ENSMUSG00000101476.2","lncRNA","Gm29570"
"168","ENSMUSG00000101171.2","processed_pseudogene","Gm7593"
"169","ENSMUSG00000025935.11","protein_coding","Tram1"
"170","ENSMUSG00000025937.7","protein_coding","Lactb2"
"171","ENSMUSG00000102982.2","TEC","Gm38319"
"172","ENSMUSG00000067813.4","protein_coding","Xkr9"
"173","ENSMUSG00000077368.3","snoRNA","Gm26273"
"174","ENSMUSG00000097711.2","processed_pseudogene","Gm5523"
"175","ENSMUSG00000102166.2","TEC","Gm36947"
"176","ENSMUSG00002075174.1","misc_RNA","7SK"
"177","ENSMUSG00000104209.2","TEC","Gm37400"
"178","ENSMUSG00000025932.15","protein_coding","Eya1"
"179","ENSMUSG00002075819.1","miRNA","ENSMUSG00002075819"
"180","ENSMUSG00000102588.2","TEC","Gm37444"
"181","ENSMUSG00000054493.3","lncRNA","Gm9947"
"182","ENSMUSG00000025930.7","protein_coding","Msc"
"183","ENSMUSG00000103492.2","TEC","Gm37412"
"184","ENSMUSG00000081201.2","processed_pseudogene","Smt3h2-ps4"
"185","ENSMUSG00000082193.2","processed_pseudogene","Rpl5-ps1"
"186","ENSMUSG00000032769.6","protein_coding","Trpa1"
"187","ENSMUSG00000088159.3","snoRNA","Gm26345"
"188","ENSMUSG00000073737.4","processed_pseudogene","Gm10566"
"189","ENSMUSG00000092083.5","protein_coding","Kcnb2"
"190","ENSMUSG00000102937.2","TEC","Gm38116"
"191","ENSMUSG00000104149.2","TEC","Gm37138"
"192","ENSMUSG00000088829.3","snoRNA","Gm25227"
"193","ENSMUSG00000077377.3","snoRNA","Gm25168"
"194","ENSMUSG00000101652.2","processed_pseudogene","Gm6060"
"195","ENSMUSG00000100814.2","processed_pseudogene","Gm28669"
"196","ENSMUSG00000025925.15","protein_coding","Terf1"
"197","ENSMUSG00000104379.2","TEC","Gm37509"
"198","ENSMUSG00000032719.5","protein_coding","Sbspon"
"199","ENSMUSG00002076565.1","misc_RNA","7SK"
"200","ENSMUSG00000100652.2","processed_pseudogene","Gm7634"
"201","ENSMUSG00000067795.14","protein_coding","4930444P10Rik"
"202","ENSMUSG00000043716.14","protein_coding","Rpl7"
"203","ENSMUSG00000025921.8","protein_coding","Rdh10"
"204","ENSMUSG00000104165.2","TEC","Gm38249"
"205","ENSMUSG00000100868.2","lncRNA","Gm28095"
"206","ENSMUSG00000025920.20","protein_coding","Stau2"
"207","ENSMUSG00000089982.8","lncRNA","Gm7568"
"208","ENSMUSG00000025939.20","protein_coding","Ube2w"
"209","ENSMUSG00000102457.2","TEC","Gm38342"
"210","ENSMUSG00000079658.10","protein_coding","Eloc"
"211","ENSMUSG00000097744.2","lncRNA","D030040B21Rik"
"212","ENSMUSG00000100959.2","processed_pseudogene","Idi1-ps5"
"213","ENSMUSG00000025940.7","protein_coding","Tmem70"
"214","ENSMUSG00000025779.11","protein_coding","Ly96"
"215","ENSMUSG00000100093.2","processed_pseudogene","Gm29649"
"216","ENSMUSG00000091020.4","processed_pseudogene","Gm5828"
"217","ENSMUSG00000101640.2","lncRNA","Gm28376"
"218","ENSMUSG00000104133.2","TEC","4921511E07Rik"
"219","ENSMUSG00000042686.6","protein_coding","Jph1"
"220","ENSMUSG00000100110.2","lncRNA","Gm28783"
"221","ENSMUSG00000025777.9","protein_coding","Gdap1"
"222","ENSMUSG00000099899.2","lncRNA","Gm28784"
"223","ENSMUSG00000100272.2","processed_pseudogene","Gm28785"
"224","ENSMUSG00000100398.2","processed_pseudogene","Gm5251"
"225","ENSMUSG00000101589.2","processed_pseudogene","Rbm6-ps1"
"226","ENSMUSG00000102048.2","processed_pseudogene","Gm6075"
"227","ENSMUSG00000089534.3","snoRNA","Gm25166"
"228","ENSMUSG00000067780.4","protein_coding","Pi15"
"229","ENSMUSG00000100053.2","lncRNA","Gm28154"
"230","ENSMUSG00000085125.8","lncRNA","Gm16070"
"231","ENSMUSG00000025776.14","protein_coding","Crispld1"
"232","ENSMUSG00000099895.2","lncRNA","Gm28153"
"233","ENSMUSG00000100554.2","processed_pseudogene","Gm7690"
"234","ENSMUSG00000099473.2","transcribed_unprocessed_pseudogene","Gm18775"
"235","ENSMUSG00000099591.2","processed_pseudogene","Gm17969"
"236","ENSMUSG00000109887.2","lncRNA","Gm28756"
"237","ENSMUSG00000102001.2","unprocessed_pseudogene","Gm28755"
"238","ENSMUSG00000101717.3","transcribed_unprocessed_pseudogene","Gm45784"
"239","ENSMUSG00000025774.15","protein_coding","Crisp4"
"240","ENSMUSG00000070977.5","unprocessed_pseudogene","Defb44-ps"
"241","ENSMUSG00000073735.2","protein_coding","Defb18"
"242","ENSMUSG00000067773.7","protein_coding","Defb41"
"243","ENSMUSG00000101685.2","processed_pseudogene","Gm17837"
"244","ENSMUSG00000101306.2","processed_pseudogene","Gm5252"
"245","ENSMUSG00000088800.4","snoRNA","Gm24075"
"246","ENSMUSG00000101644.2","processed_pseudogene","Gm28343"
"247","ENSMUSG00000099433.2","processed_pseudogene","Gm28344"
"248","ENSMUSG00000089787.3","lncRNA","Gm15825"
"249","ENSMUSG00000042596.8","protein_coding","Tfap2d"
"250","ENSMUSG00000100720.2","processed_pseudogene","Gm10075"
"251","ENSMUSG00000025927.14","protein_coding","Tfap2b"
"252","ENSMUSG00000100538.2","lncRNA","Gm28340"
"253","ENSMUSG00000101117.2","processed_pseudogene","Gm28341"
"254","ENSMUSG00000100204.2","processed_pseudogene","Gm4849"
"255","ENSMUSG00002076883.1","snoRNA","SNORD29"
"256","ENSMUSG00000102597.2","TEC","Gm38382"
"257","ENSMUSG00000043760.17","protein_coding","Pkhd1"
"258","ENSMUSG00000104095.2","TEC","Gm37315"
"259","ENSMUSG00000089914.3","lncRNA","4930486I03Rik"
"260","ENSMUSG00000090142.3","processed_pseudogene","Gm15795"
"261","ENSMUSG00000070175.3","snRNA","Gm24162"
"262","ENSMUSG00000099906.3","lncRNA","Gm28653"
"263","ENSMUSG00000065559.3","miRNA","Mir206"
"264","ENSMUSG00000065480.3","miRNA","Mir133b"
"265","ENSMUSG00000025929.5","protein_coding","Il17a"
"266","ENSMUSG00000041872.10","protein_coding","Il17f"
"267","ENSMUSG00000041859.11","protein_coding","Mcm3"
"268","ENSMUSG00000099714.2","processed_pseudogene","Gm20587"
"269","ENSMUSG00000102121.2","lncRNA","Gm28065"
"270","ENSMUSG00000088858.3","snoRNA","Gm24723"
"271","ENSMUSG00000097934.2","lncRNA","6720483E21Rik"
"272","ENSMUSG00000025931.16","protein_coding","Paqr8"
"273","ENSMUSG00000077314.3","snoRNA","Gm24171"
"274","ENSMUSG00000100929.2","processed_pseudogene","Gm28064"
"275","ENSMUSG00000041809.6","protein_coding","Efhc1"
"276","ENSMUSG00000041779.6","protein_coding","Tram2"
"277","ENSMUSG00000099971.2","lncRNA","Gm28287"
"278","ENSMUSG00000100819.2","unprocessed_pseudogene","Gm2693"
"279","ENSMUSG00000025933.16","protein_coding","Tmem14a"
"280","ENSMUSG00000102633.2","TEC","Gm38224"
"281","ENSMUSG00000025934.16","protein_coding","Gsta3"
"282","ENSMUSG00000099343.2","lncRNA","Gm28836"
"283","ENSMUSG00000096375.3","unprocessed_pseudogene","Gm7094"
"284","ENSMUSG00000025936.16","transcribed_unprocessed_pseudogene","Gm4956"
"285","ENSMUSG00000093963.2","unprocessed_pseudogene","Gm21909"
"286","ENSMUSG00000067750.4","protein_coding","Khdc1a"
"287","ENSMUSG00000086194.2","unprocessed_pseudogene","Gm16329"
"288","ENSMUSG00000094436.2","processed_pseudogene","Gm16327"
"289","ENSMUSG00000041722.8","protein_coding","Khdc1c"
"290","ENSMUSG00000085507.2","unprocessed_pseudogene","Gm2709"
"291","ENSMUSG00000094926.2","processed_pseudogene","Gm16533"
"292","ENSMUSG00000085079.4","protein_coding","Khdc1b"
"293","ENSMUSG00000085679.3","processed_pseudogene","Gm16328"
"294","ENSMUSG00000028033.17","protein_coding","Kcnq5"
"295","ENSMUSG00000104138.2","TEC","Gm36949"
"296","ENSMUSG00000082935.4","processed_pseudogene","Gm7658"
"297","ENSMUSG00000103748.2","TEC","Gm38243"
"298","ENSMUSG00000099692.2","processed_pseudogene","Gm5696"
"299","ENSMUSG00000100418.2","processed_pseudogene","Gm28239"
"300","ENSMUSG00000041670.20","protein_coding","Rims1"
"301","ENSMUSG00000097642.2","processed_pseudogene","Gm26866"
"302","ENSMUSG00000101468.2","processed_pseudogene","Gm7761"
"303","ENSMUSG00000101227.2","lncRNA","Gm29506"
"304","ENSMUSG00000073730.3","protein_coding","Ppp1r14bl"
"305","ENSMUSG00000089553.3","snoRNA","Gm24176"
"306","ENSMUSG00000102766.2","TEC","Gm6420"
"307","ENSMUSG00000065405.5","miRNA","Mir30a"
"308","ENSMUSG00000097970.2","lncRNA","Gm27028"
"309","ENSMUSG00000065567.3","miRNA","Mir30c-2"
"310","ENSMUSG00000100775.2","lncRNA","Gm29107"
"311","ENSMUSG00000101226.2","processed_pseudogene","Gm20954"
"312","ENSMUSG00000026158.12","protein_coding","Ogfrl1"
"313","ENSMUSG00000097920.2","processed_pseudogene","Gm7784"
"314","ENSMUSG00000099503.2","lncRNA","Gm28822"
"315","ENSMUSG00000026156.9","protein_coding","B3gat2"
"316","ENSMUSG00000026155.14","protein_coding","Smap1"
"317","ENSMUSG00000026154.5","protein_coding","Sdhaf4"
"318","ENSMUSG00000102495.2","TEC","Gm26524"
"319","ENSMUSG00000026153.16","protein_coding","Fam135a"
"320","ENSMUSG00000102398.2","TEC","Gm37580"
"321","ENSMUSG00000097670.2","processed_pseudogene","Gm26607"
"322","ENSMUSG00000026147.17","protein_coding","Col9a1"
"323","ENSMUSG00000026141.14","protein_coding","Col19a1"
"324","ENSMUSG00000077463.3","snoRNA","Gm26418"
"325","ENSMUSG00000099997.2","processed_pseudogene","Tubb4b-ps2"
"326","ENSMUSG00000100131.2","unprocessed_pseudogene","Gm28439"
"327","ENSMUSG00000067736.3","unprocessed_pseudogene","Gm10222"
"328","ENSMUSG00000101939.2","unprocessed_pseudogene","Gm28438"
"329","ENSMUSG00000101111.2","unprocessed_pseudogene","Gm28437"
"330","ENSMUSG00000100862.2","unprocessed_pseudogene","Gm10925"
"331","ENSMUSG00000102070.2","unprocessed_pseudogene","Gm28661"
"332","ENSMUSG00000101249.2","unprocessed_pseudogene","Gm29216"
"333","ENSMUSG00000073725.9","protein_coding","Lmbrd1"
"334","ENSMUSG00000100808.2","processed_pseudogene","Gm28594"
"335","ENSMUSG00000100483.2","lncRNA","Gm28237"
"336","ENSMUSG00000100450.2","processed_pseudogene","Gm9443"
"337","ENSMUSG00000099392.2","lncRNA","Gm29414"
"338","ENSMUSG00000033569.18","protein_coding","Adgrb3"
"339","ENSMUSG00000080849.2","processed_pseudogene","Gm15702"
"340","ENSMUSG00000104257.2","TEC","Gm20172"
"341","ENSMUSG00000119153.1","snRNA","U6"
"342","ENSMUSG00000102296.2","TEC","Gm37543"
"343","ENSMUSG00000103209.2","TEC","Gm37331"
"344","ENSMUSG00000104027.2","TEC","Gm37211"
"345","ENSMUSG00000102407.2","TEC","Gm37862"
"346","ENSMUSG00000103214.2","TEC","Gm38286"
"347","ENSMUSG00000104100.2","TEC","Gm37880"
"348","ENSMUSG00000084740.3","snRNA","Gm25294"
"349","ENSMUSG00000103889.2","TEC","Gm37011"
"350","ENSMUSG00000101301.2","processed_pseudogene","Gm29214"
"351","ENSMUSG00000104221.2","TEC","Gm37051"
"352","ENSMUSG00000102250.2","TEC","Gm38260"
"353","ENSMUSG00000102317.2","TEC","Gm37628"
"354","ENSMUSG00000103563.2","TEC","8030445P17Rik"
"355","ENSMUSG00000102465.2","TEC","Gm38198"
"356","ENSMUSG00000102659.2","TEC","Gm37077"
"357","ENSMUSG00000103924.2","TEC","Gm37895"
"358","ENSMUSG00000104132.2","TEC","Gm36952"
"359","ENSMUSG00000102747.2","TEC","Gm37602"
"360","ENSMUSG00000102386.2","TEC","2900022M07Rik"
"361","ENSMUSG00000103004.2","TEC","2900002M20Rik"
"362","ENSMUSG00000104516.2","TEC","Gm9884"
"363","ENSMUSG00000101618.2","processed_pseudogene","Gm18443"
"364","ENSMUSG00000099458.2","processed_pseudogene","Gm19123"
"365","ENSMUSG00000088111.3","snoRNA","Gm24064"
"366","ENSMUSG00000073722.4","protein_coding","4931408C20Rik"
"367","ENSMUSG00000119695.1","rRNA","5S_rRNA"
"368","ENSMUSG00000100310.2","processed_pseudogene","Gm19641"
"369","ENSMUSG00000101514.2","lncRNA","Gm5524"
"370","ENSMUSG00000101033.2","processed_pseudogene","Gm18776"
"371","ENSMUSG00000101372.2","processed_pseudogene","Gm19028"
"372","ENSMUSG00000103241.2","TEC","Gm38089"
"373","ENSMUSG00000086240.5","processed_pseudogene","Gm7846"
"374","ENSMUSG00000048411.5","protein_coding","Gm597"
"375","ENSMUSG00000081557.3","processed_pseudogene","Gm5697"
"376","ENSMUSG00000058590.3","processed_pseudogene","Gm6462"
"377","ENSMUSG00000101235.2","processed_pseudogene","Gm18033"
"378","ENSMUSG00002075209.1","misc_RNA","Y_RNA"
"379","ENSMUSG00002076857.1","miRNA","ENSMUSG00002076857"
"380","ENSMUSG00002074912.1","miRNA","ENSMUSG00002074912"
"381","ENSMUSG00000099257.3","miRNA","Mir6342"
"382","ENSMUSG00000099492.2","processed_pseudogene","Gm5525"
"383","ENSMUSG00000118548.2","processed_pseudogene","Gm53035"
"384","ENSMUSG00000101726.2","processed_pseudogene","Gm7858"
"385","ENSMUSG00002075317.1","miRNA","ENSMUSG00002075317"
"386","ENSMUSG00002075289.1","miRNA","ENSMUSG00002075289"
"387","ENSMUSG00000053185.3","lncRNA","Gm9898"
"388","ENSMUSG00000100261.2","unprocessed_pseudogene","Gm6473"
"389","ENSMUSG00000101180.2","processed_pseudogene","Gm2914"
"390","ENSMUSG00000048874.16","protein_coding","Phf3"
"391","ENSMUSG00000103783.2","TEC","Gm37522"
"392","ENSMUSG00000104315.2","TEC","Gm37906"
"393","ENSMUSG00000026064.17","protein_coding","Ptp4a1"
"394","ENSMUSG00000117310.3","protein_coding","Ptp4a1"
"395","ENSMUSG00000117091.2","protein_coding","Gm5698"
"396","ENSMUSG00000086726.4","processed_pseudogene","Gm9458"
"397","ENSMUSG00000086727.9","protein_coding","4931428L18Rik"
"398","ENSMUSG00000100237.2","lncRNA","Gm28644"
"399","ENSMUSG00002076113.1","rRNA","5S_rRNA"
"400","ENSMUSG00000100910.2","lncRNA","Gm29128"
"401","ENSMUSG00000099796.2","processed_pseudogene","Gm7893"
"402","ENSMUSG00000050217.14","protein_coding","Lgsn"
"403","ENSMUSG00000026063.5","protein_coding","Dnaaf6"
"404","ENSMUSG00000077664.3","snoRNA","Gm26145"
"405","ENSMUSG00000100205.2","processed_pseudogene","Gm4850"
"406","ENSMUSG00000100592.2","processed_pseudogene","Gm28645"
"407","ENSMUSG00000094215.3","processed_pseudogene","Gm6489"
"408","ENSMUSG00000101093.2","processed_pseudogene","Eef1a1-ps2"
"409","ENSMUSG00000070960.5","processed_pseudogene","Gm19680"
"410","ENSMUSG00000088620.3","snRNA","Gm23032"
"411","ENSMUSG00000082159.3","processed_pseudogene","Gm7910"
"412","ENSMUSG00000026058.12","protein_coding","Khdrbs2"
"413","ENSMUSG00000064688.3","snRNA","Gm25814"
"414","ENSMUSG00000103482.2","TEC","Gm37999"
"415","ENSMUSG00000104498.2","TEC","Gm37110"
"416","ENSMUSG00000104313.2","TEC","Gm37911"
"417","ENSMUSG00000102865.2","TEC","Gm9839"
"418","ENSMUSG00000102321.2","TEC","Gm37792"
"419","ENSMUSG00000091318.3","protein_coding","Gm5415"
"420","ENSMUSG00000089489.3","snRNA","Gm24732"
"421","ENSMUSG00000104433.2","TEC","Gm37426"
"422","ENSMUSG00002076392.1","misc_RNA","7SK"
"423","ENSMUSG00000102926.2","TEC","Gm37151"
"424","ENSMUSG00000100497.2","processed_pseudogene","Gm28624"
"425","ENSMUSG00000102917.2","lncRNA","Gm37724"
"426","ENSMUSG00000100481.2","processed_pseudogene","Gm7114"
"427","ENSMUSG00000100590.2","processed_pseudogene","Gm4785"
"428","ENSMUSG00000088750.3","snRNA","Gm24901"
"429","ENSMUSG00000104230.2","lncRNA","Gm37591"
"430","ENSMUSG00000101754.3","processed_pseudogene","Gm2987"
"431","ENSMUSG00000065223.4","snRNA","Gm25792"
"432","ENSMUSG00000100318.3","processed_pseudogene","Gm18799"
"433","ENSMUSG00000101612.3","processed_pseudogene","Gm7933"
"434","ENSMUSG00000065260.3","snRNA","Gm23453"
"435","ENSMUSG00000026134.12","protein_coding","Prim2"
"436","ENSMUSG00000101682.2","processed_pseudogene","Gm29228"
"437","ENSMUSG00000102714.2","TEC","Gm37618"
"438","ENSMUSG00000102093.2","processed_pseudogene","Gm17813"
"439","ENSMUSG00000103746.2","TEC","1700001G17Rik"
"440","ENSMUSG00000102198.2","TEC","Gm38173"
"441","ENSMUSG00000004768.15","protein_coding","Rab23"
"442","ENSMUSG00000042215.9","protein_coding","Bag2"
"443","ENSMUSG00000103072.2","TEC","Gm37905"
"444","ENSMUSG00000042197.14","protein_coding","Zfp451"
"445","ENSMUSG00000081402.5","processed_pseudogene","Gm15455"
"446","ENSMUSG00000042182.17","protein_coding","Bend6"
"447","ENSMUSG00000104416.2","TEC","Gm37067"
"448","ENSMUSG00000026131.21","protein_coding","Dst"
"449","ENSMUSG00000103596.2","TEC","Gm37354"
"450","ENSMUSG00000099382.2","processed_pseudogene","Gm28631"
"451","ENSMUSG00000084506.3","snRNA","Gm23792"
